geonameid,name,asciiname,country_code,admin1_code,admin2_code,admin3_code,admin4_code,feature_class,feature_code,population,latitude,longitude,timezone,geonames_modified_at,in_cities15000,in_cities5000,in_cities1000,in_cities500,assigned_phase
1803378,Linmingguan,Linmingguan,CN,10,1304,,,P,PPLA3,0,36.77715,114.4894,Asia/Shanghai,2024-05-15,false,false,true,true,cities1000
1803382,Linli,Linli,CN,11,4307,,,P,PPLA3,0,29.44686,111.63892,Asia/Shanghai,2023-10-06,false,false,true,true,cities1000
1803383,Linkuang,Linkuang,CN,12,4208,,,P,PPLA4,0,31.29543,112.41875,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803387,Linkou,Linkou,CN,11,4312,,,P,PPL,2270,26.24806,109.86361,Asia/Shanghai,2021-09-20,false,false,true,true,cities1000
1803395,Linjiang,Linjiang,CN,33,8739734,,,P,PPLA4,25740,29.24522,105.95663,Asia/Shanghai,2022-11-04,true,true,true,true,cities15000
1803396,Linjiang,Linjiang,CN,15,6212,,,P,PPLA4,7583,33.06218,104.92142,Asia/Shanghai,2021-10-28,false,true,true,true,cities5000
1803397,Linjiang,Linjiang,CN,33,8739734,,,P,PPLA4,71149,31.09956,108.21964,Asia/Shanghai,2022-06-06,true,true,true,true,cities15000
1803400,Linjiang,Linjiang,CN,07,3507,,,P,PPLA4,0,27.82409,118.45546,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803402,Linjiacun,Linjiacun,CN,25,3707,,,P,PPL,88509,35.99389,119.65028,Asia/Shanghai,2021-10-07,true,true,true,true,cities15000
1803422,Linhai,Linhai,CN,02,3310,,,P,PPLA3,0,28.85535,121.1447,Asia/Shanghai,2021-10-07,false,false,true,true,cities1000
1803428,Lingyao,Lingyao,CN,07,3507,,,P,PPLA4,0,27.47219,118.98263,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803437,Lingcheng,Lingcheng,CN,25,3714,,,P,PPLA3,0,37.33501,116.57045,Asia/Shanghai,2021-09-20,false,false,true,true,cities1000
1803438,Xiayang,Xiayang,CN,11,4302,,,P,PPLA3,0,26.48885,113.76796,Asia/Shanghai,2021-09-20,false,false,true,true,cities1000
1803441,Lingxia,Lingxia,CN,07,3509,,,P,PPLA4,0,27.07778,118.96,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803444,Lingxi,Lingxi,CN,11,4331,,,P,PPLA3,0,29.005,109.84472,Asia/Shanghai,2024-07-13,false,false,true,true,cities1000
1803448,Lingwu Nongchang,Lingwu Nongchang,CN,21,6403,,,P,PPLF,9949,38.13333,106.3,Asia/Shanghai,2021-10-07,false,true,true,true,cities5000
1803449,Dongta,Dongta,CN,21,6401,1803447,,P,PPLA3,22040,38.0814,106.34444,Asia/Shanghai,2021-10-07,true,true,true,true,cities15000
1803455,Lingtou,Lingtou,CN,07,3501,,,P,PPLA4,380,26.18885,119.27249,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803458,Lingtang,Lingtang,CN,04,3210,,,P,PPLA4,0,32.6912,119.22686,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803466,Lingshou,Lingshou,CN,10,1301,,,P,PPLA3,0,38.30797,114.37424,Asia/Shanghai,2023-12-11,false,false,true,true,cities1000
1803468,Cuifeng,Cuifeng,CN,24,1407,,,P,PPLA3,0,36.84517,111.78172,Asia/Shanghai,2024-07-13,false,false,true,true,cities1000
1803478,Lingshan,Lingshan,CN,10,1306,,,P,PPLA4,0,38.78997,114.6352,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803481,Lingshan,Lingshan,CN,31,4601,,,P,PPLA4,0,19.96917,110.42811,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803486,Wuling,Wuling,CN,24,1402,,,P,PPLA3,0,39.46799,114.14843,Asia/Shanghai,2024-07-13,false,false,true,true,cities1000
1803488,Lingqiao,Lingqiao,CN,02,3301,,,P,PPLA4,0,30.03032,120.02927,Asia/Shanghai,2021-09-19,false,false,false,true,cities500
1803489,Lingqian,Lingqian,CN,26,6104,,,P,PPLA4,0,34.76056,108.98389,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803499,Lingkou,Lingkou,CN,26,6101,,,P,PPLA4,0,34.47749,109.36098,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803501,Lingkou,Lingkou,CN,04,3211,,,P,PPLA4,0,31.95008,119.65373,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803514,Lingjiang,Lingjiang,CN,32,5108,,,P,PPLA3,0,31.7346,105.93162,Asia/Shanghai,2021-09-20,false,false,true,true,cities1000
1803520,Linghu,Linghu,CN,02,3305,,,P,PPLA4,0,30.71752,120.17311,Asia/Shanghai,2021-09-19,false,false,false,true,cities500
1803522,Linghe,Linghe,CN,25,3707,,,P,PPL,99069,36.36417,119.07694,Asia/Shanghai,2021-09-22,true,true,true,true,cities15000
1803534,Lingdian,Lingdian,CN,04,3206,,,P,PPLA4,0,31.86668,121.42024,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803539,Lingdi,Lingdi,CN,03,3611,,,P,PPLA4,0,28.20626,118.29888,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803540,Lingdi,Lingdi,CN,07,3504,,,P,PPLA4,0,25.8692,116.81269,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803543,Lingda,Lingda,CN,01,3418,,,P,PPLA4,0,31.20377,119.29612,Asia/Shanghai,2021-09-19,false,false,false,true,cities500
1803546,Chongwen,Chongwen,CN,24,1405,,,P,PPLA3,0,35.77491,113.25079,Asia/Shanghai,2024-07-13,false,false,true,true,cities1000
1803547,Lingchuan,Lingchuan,CN,07,3503,,,P,PPLA4,0,25.29607,118.96163,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1803549,Lingcheng,Lingcheng,CN,04,3203,,,P,PPL,53841,33.81639,118.11361,Asia/Shanghai,2021-09-22,true,true,true,true,cities15000
1803550,Lingcheng,Lingcheng,CN,01,3413,,,P,PPLA3,0,33.53766,117.53357,Asia/Shanghai,2024-07-13,false,false,true,true,cities1000
1803551,Beiliu,Beiliu,CN,16,4509,,,P,PPL,199769,22.70722,110.34917,Asia/Shanghai,2021-10-14,true,true,true,true,cities15000
1803552,Lingcheng,Lingcheng,CN,16,4507,,,P,PPLA3,0,22.42317,109.29303,Asia/Shanghai,2021-09-20,false,false,true,true,cities1000
1803554,Lingbei,Lingbei,CN,03,3607,,,P,PPLA4,0,26.05104,115.46689,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
